CITY,ZIP,ListPrice,BEDS,BATHS,SQFT,LotSize,Age,HasGarage,LATITUDE,LONGITUDE
Minneapolis,55412,145000,3,1,1516,,64,Garage,45.038525,-93.313919
Minneapolis,55419,1400000,4,3.25,4181,16988,89,Garage,44.920345,-93.295059
Minneapolis,55406,105900,3,2,1408,6098,100,Garage,44.920139,-93.216293
St. Paul,55119,99000,3,1,2330,8712,92,Garage,44.955227,-93.015526
Minneapolis,55412,66900,2,1,1400,4791,85,Garage,45.038704,-93.312065
Minneapolis,55410,349000,2,1.5,1715,5662,106,Garage,44.919327,-93.320534
Minneapolis,55412,156900,3,1,1521,5227,67,Garage,45.03878,-93.313332
Minneapolis,55412,143900,3,1.25,1794,5227,66,Garage,45.039028,-93.312065
Minneapolis,55412,89900,3,1,1706,5227,90,Garage,45.039162,-93.294342
Minneapolis,55419,279900,3,1.5,1608,4356,104,Garage,44.918522,-93.287895
Minneapolis,55407,249900,3,1,1154,5227,93,Garage,44.917427,-93.250778
Minneapolis,55407,229900,3,2,1658,5227,99,Garage,44.917442,-93.263542
Minneapolis,55430,174900,3,1.5,1642,6098,63,Garage,45.040882,-93.318985
Minneapolis,55419,575900,5,3.5,3564,4791,6,Garage,44.917027,-93.286064
Minneapolis,55410,595000,3,2.25,2416,5662,89,Garage,44.917099,-93.328186
Minneapolis,55430,174900,3,1,1402,6098,63,Garage,45.041157,-93.318993
Minneapolis,55430,119900,4,1.5,1129,4791,88,Garage,45.041199,-93.29361
Minneapolis,55407,429900,3,3,2324,4791,0,Garage,44.916889,-93.26815
Minneapolis,55410,835000,5,3.5,3853,5227,1,Garage,44.916721,-93.320511
Minneapolis,55410,690000,4,2.25,2404,3920,89,Garage,44.91663,-93.325768
Minneapolis,55407,239900,4,1,2390,5227,93,Garage,44.916553,-93.2528
Minneapolis,55407,179900,2,1,828,4791,97,Garage,44.916454,-93.263557
St. Paul,55103,119000,3,1,1011,6098,139,Garage,44.956409,-93.1203
Minneapolis,55410,4650000,5,5.5,8655,16117,82,Garage,44.915871,-93.31192
Minneapolis,55430,39000,2,1.5,1180,5662,64,Garage,45.043152,-93.288506
Minneapolis,55417,184900,2,1,1146,6534,99,Garage,44.914696,-93.228004
Minneapolis,55419,189000,2,1,1174,5227,93,Garage,44.914818,-93.273247
Minneapolis,55430,129900,2,1,1044,4791,73,Garage,45.043331,-93.293098
Minneapolis,55410,2795000,4,4.75,4939,21344,84,Garage,44.915676,-93.310974
Minneapolis,55430,99900,2,1,1248,4791,84,Garage,45.043655,-93.29052
Minneapolis,55430,39900,2,1,1390,4791,105,Garage,45.043766,-93.287292
St. Paul,55116,424900,3,1.5,1916,5662,88,Garage,44.926739,-93.193916
St. Paul,55116,379900,4,2,1025,5662,88,Garage,44.926739,-93.193275
Minneapolis,55419,1495000,5,4.5,4646,23522,107,Garage,44.915001,-93.307915
St. Paul,55107,165000,4,2.5,2104,6534,63,Garage,44.920753,-93.082924
Minneapolis,55419,799900,4,2.5,4177,10454,59,Garage,44.913956,-93.301392
Minneapolis,55430,147900,3,1.75,1638,6534,57,Garage,45.044121,-93.317802
Minneapolis,55430,110000,3,1,1068,6534,63,Garage,45.044212,-93.289795
Minneapolis,55417,239500,3,1.75,1251,,89,Garage,44.914146,-93.223862
Minneapolis,55417,339000,3,2.25,2060,5227,55,Garage,44.913937,-93.263565
Minneapolis,55419,399988,5,2.75,2592,6098,62,Garage,44.913631,-93.270691
Minneapolis,55419,252500,3,2,1700,6098,92,Garage,44.913521,-93.277626
Minneapolis,55419,869000,4,4.25,3519,6098,90,Garage,44.91328,-93.289917
Minneapolis,55430,89900,2,1,700,9583,67,Garage,45.04538,-93.314713
Minneapolis,55410,868900,5,3.25,3650,5227,0,Garage,44.913296,-93.321762
Minneapolis,55410,259900,2,1.5,1853,5662,55,Garage,44.913254,-93.312141
Minneapolis,55430,124900,2,1,1200,6098,59,Garage,45.045341,-93.313438
St. Paul,55104,269000,3,2,1524,9583,57,Garage,44.956184,-93.206543
Minneapolis,55430,124900,3,1.75,1460,7840,59,Garage,45.045387,-93.309624
Minneapolis,55430,112900,3,1,1460,5793,68,Garage,45.045578,-93.2911
Minneapolis,55419,750000,5,4.5,4158,,89,Garage,44.912621,-93.276382
St. Paul,55130,139900,3,1.75,1600,8276,53,Garage,44.988911,-93.079674
Minneapolis,55419,625000,3,2.25,2700,11325,83,Garage,44.912247,-93.273285
Minneapolis,55430,134900,4,1.5,1685,6534,64,Garage,45.045876,-93.289268
Minneapolis,55410,849500,4,3.25,3752,5227,0,Garage,44.911495,-93.321747
St. Paul,55107,239900,5,2.5,2016,9147,114,Garage,44.922783,-93.064224
Minneapolis,55417,339900,3,1.5,2124,5662,61,Garage,44.911064,-93.247719
Minneapolis,55430,99999,4,1,1128,5662,64,Garage,45.04726,-93.297546
Minneapolis,55410,350000,3,1,1550,5227,34,Garage,44.910725,-93.312851
St. Paul,55102,749900,6,4.25,4869,9147,119,Garage,44.939743,-93.121346
Minneapolis,55417,299000,3,2,1697,5227,94,Garage,44.910679,-93.218674
Minneapolis,55410,599000,4,3.5,2938,5227,1,Garage,44.910179,-93.318481
St. Paul,55107,95000,2,1.75,2204,4791,32,Garage,44.922783,-93.063995
Minneapolis,55410,305000,3,2,1607,5662,114,Garage,44.909924,-93.322289
Minneapolis,55430,124900,3,1,1216,6969,63,Garage,45.048492,-93.293694
Minneapolis,55417,157000,2,1.75,1737,6534,89,Garage,44.909714,-93.208443
Minneapolis,55430,79500,4,1,1180,,77,Garage,45.048405,-93.294434
Minneapolis,55430,129550,3,1,1200,5227,97,Garage,45.048588,-93.302063
Minneapolis,55430,140000,3,1.75,1738,4791,52,Garage,45.048695,-93.302063
Minneapolis,55410,699000,3,2,2376,5140,90,Garage,44.909145,-93.31411
Minneapolis,55408,225000,3,2,2214,3049,99,Garage,44.937511,-93.286377
Minneapolis,55430,53900,1,1,700,4356,90,Garage,45.049194,-93.291145
Minneapolis,55417,228500,2,1,1095,5227,97,Garage,44.909218,-93.228783
St. Paul,55117,194900,5,1.5,1851,6098,50,Garage,44.984333,-93.121872
Minneapolis,55430,225000,3,1.75,1758,10454,0,Garage,45.049759,-93.308968
Minneapolis,55430,225000,3,1.75,1758,7405,0,Garage,45.049561,-93.308426
Minneapolis,55430,139900,2,2,1100,5227,91,Garage,45.050011,-93.286018
Minneapolis,55430,119900,3,1.5,1121,5227,93,Garage,45.050232,-93.287308
Minneapolis,55417,339900,3,2.5,2079,5662,65,Garage,44.907856,-93.255363
Minneapolis,55430,138500,5,1.75,1774,4791,69,Garage,45.050339,-93.296272
Minneapolis,55417,219900,3,1,1052,5227,63,Garage,44.907578,-93.261002
Minneapolis,55419,955000,5,4.5,4720,6534,87,Garage,44.907047,-93.296829
St. Paul,55130,99900,2,1,754,9583,90,Garage,44.972248,-93.078194
St. Paul,55102,520000,4,2.25,2352,5662,126,Garage,44.947147,-93.12252
St. Paul,55107,149900,3,1.25,1288,5227,107,Garage,44.930004,-93.101593
St. Paul,55106,145000,3,1,1279,4791,100,Garage,44.957283,-93.06057
Minneapolis,55410,260000,3,1,1176,4791,89,Garage,44.906943,-93.325364
Minneapolis,55419,479900,3,1.5,2191,5924,78,Garage,44.906761,-93.298103
Minneapolis,55417,324900,4,1.5,2114,4791,66,Garage,44.906776,-93.257942
Minneapolis,55417,159900,1,1,599,5227,91,Garage,44.906944,-93.216858
Minneapolis,55417,234900,3,1,1540,4791,75,Garage,44.906696,-93.254646
Minneapolis,55419,499900,3,1.5,2552,6534,87,Garage,44.90604,-93.272537
Minneapolis,55419,319900,2,2.25,1930,5227,93,Garage,44.906025,-93.302643
Minneapolis,55419,624900,5,2.75,2697,4791,85,Garage,44.905899,-93.295013
Minneapolis,55417,179990,3,1,1031,5227,90,Garage,44.906124,-93.214874
Minneapolis,55410,799990,4,3.25,3398,5227,1,Garage,44.905968,-93.32299
Minneapolis,55417,225000,3,1,1154,5227,74,Garage,44.905762,-93.257957
Minneapolis,55410,699900,4,3.5,3200,5227,8,Garage,44.905846,-93.322266
Minneapolis,55417,129900,2,1.75,954,5227,90,Garage,44.905834,-93.20977
Minneapolis,55419,309999,3,1.75,1725,5662,86,Garage,44.905426,-93.307716
St. Paul,55102,599900,4,3,3552,5662,134,Garage,44.947147,-93.12291
Minneapolis,55419,299900,4,2,2208,6534,66,Garage,44.904976,-93.305176
Minneapolis,55419,389900,4,1.75,2320,7405,96,Garage,44.905033,-93.273834
Minneapolis,55417,129900,3,1.75,1574,5227,64,Garage,44.905251,-93.208496
Minneapolis,55417,134800,1,1,675,5227,92,Garage,44.905144,-93.209778
Minneapolis,55417,154900,3,1.75,1300,,59,Garage,44.904865,-93.230667
Minneapolis,55410,224900,3,1,1140,5662,67,Garage,44.904659,-93.317909
Minneapolis,55417,117900,2,1,739,6098,91,Garage,44.904865,-93.226814
Minneapolis,55417,124900,1,1,548,6098,90,Garage,44.904633,-93.22393
Minneapolis,55417,209900,4,2,2852,5227,70,Garage,44.904453,-93.227585
Minneapolis,55417,239900,4,2,2164,4791,68,Garage,44.904282,-93.235779
Minneapolis,55417,184900,3,1.75,1596,5227,68,Garage,44.904213,-93.230118
Minneapolis,55417,137000,1,1,690,6534,92,Garage,44.903931,-93.224747
Minneapolis,55419,254900,4,2,1627,6098,88,Garage,44.903584,-93.286102
St. Paul,55104,529900,6,3.25,3990,9147,102,Garage,44.94313,-93.147102
Minneapolis,55417,309900,5,2.75,2686,6534,64,Garage,44.903286,-93.254707
Minneapolis,55417,224990,3,1.75,1340,4791,89,Garage,44.903336,-93.214897
Minneapolis,55419,419900,4,2.25,2925,5227,14,Garage,,
Minneapolis,55417,324900,3,2,1694,7405,74,Garage,44.902409,-93.26564
Minneapolis,55410,284700,3,1.75,1702,5227,61,Garage,44.902626,-93.318451
Minneapolis,55419,169990,3,1.5,1080,6098,90,Garage,44.902321,-93.27834
St. Paul,55103,32900,2,1,896,,125,Garage,44.962322,-93.123474
Minneapolis,55417,189900,3,2,1510,6534,86,Garage,44.902466,-93.22477
St. Paul,55103,110000,3,1.75,1376,4791,105,Garage,44.957836,-93.118492
St. Paul,55106,133900,3,1.75,1129,10018,67,Garage,44.958103,-93.024773
Minneapolis,55417,169900,2,1,696,5227,66,Garage,44.901936,-93.233971
Minneapolis,55419,399900,4,3.25,2722,7840,19,Garage,44.90176,-93.282204
Minneapolis,55417,234900,3,1.75,2150,6969,64,Garage,44.901615,-93.221291
Minneapolis,55419,187000,4,2.5,1555,5227,74,Garage,44.901302,-93.275887
Minneapolis,55419,219900,5,1.75,1670,6534,90,Garage,44.901127,-93.273926
Minneapolis,55417,185900,3,1,1214,5227,91,Garage,44.901169,-93.220741
Minneapolis,55419,249900,3,1.75,1314,5227,64,Garage,44.900955,-93.305756
Minneapolis,55417,289900,3,1.5,1440,6098,77,Garage,44.900627,-93.258095
Minneapolis,55419,273500,3,1.75,1587,5227,64,Garage,44.900703,-93.298828
St. Paul,55106,56750,2,1,1397,3920,57,Garage,44.95829,-93.063179
Minneapolis,55417,169900,3,1.75,1373,5227,62,Garage,44.900459,-93.232719
Minneapolis,55419,219000,3,1.5,1828,5227,102,Garage,44.900242,-93.278442
Minneapolis,55417,199900,3,1,1496,5227,69,Garage,44.900436,-93.235817
Minneapolis,55410,750000,4,3.5,3531,5227,1,Garage,44.900166,-93.31411
Minneapolis,55417,164900,3,1,1080,5227,63,Garage,44.900349,-93.233269
St. Paul,55117,129895,2,1,1500,6534,110,Garage,44.971306,-93.124222
St. Paul,55102,255000,5,1.75,2120,7405,39,Garage,44.934383,-93.123451
St. Paul,55117,144900,3,1.5,1447,8276,56,Garage,44.977619,-93.124283
Minneapolis,55417,174900,3,1,1674,6098,63,Garage,44.899689,-93.219482
Minneapolis,55419,339900,3,2.5,2007,6534,67,Garage,44.899353,-93.286102
Minneapolis,55417,199900,4,1,1212,8712,87,Garage,44.899612,-93.214935
Minneapolis,55417,189900,3,1.75,1374,6534,64,Garage,44.899403,-93.221321
Minneapolis,55417,209900,3,1.5,1586,5227,66,Garage,44.899235,-93.239609
Minneapolis,55419,174900,2,1.75,1623,10454,67,Garage,44.898731,-93.308296
Minneapolis,55417,184900,3,1.75,1572,5662,62,Garage,44.898609,-93.254288
Minneapolis,55419,289900,3,1.75,1820,5227,65,Garage,44.898819,-93.305763
Minneapolis,55419,274900,3,2.75,1835,5662,76,Garage,44.898384,-93.279007
St. Paul,55116,329900,3,2.5,1767,5227,86,Garage,44.924118,-93.164825
St. Paul,55103,145000,4,2,1680,4791,115,Garage,44.959091,-93.124641
Minneapolis,55419,575000,3,2.25,3173,6534,0,Garage,44.897625,-93.304382
Minneapolis,55417,184900,3,1.75,1536,6098,33,Garage,44.897511,-93.245972
St. Paul,55106,139900,4,1.75,1246,4791,114,Garage,44.958916,-93.063843
Minneapolis,55417,329900,3,2,2216,6534,73,Garage,44.897366,-93.263748
Minneapolis,55419,243000,3,1,1726,6534,68,Garage,44.897007,-93.291229
Minneapolis,55419,274900,4,2,1862,5227,57,Garage,44.897064,-93.295586
Minneapolis,55417,239999,4,1.5,1822,6098,63,Garage,44.896538,-93.258232
Minneapolis,55417,289900,3,1.5,2512,6098,72,Garage,44.8964,-93.259964
St. Paul,55102,2225000,6,4.25,7314,,125,Garage,44.941109,-93.101524
Minneapolis,55410,289900,3,1.5,1769,,63,Garage,44.896034,-93.315384
Minneapolis,55410,214900,2,1,1115,6969,67,Garage,44.896061,-93.310852
Minneapolis,55410,230000,3,1,1239,5227,63,Garage,44.896042,-93.315926
Minneapolis,55419,525000,4,2.5,2184,6098,1,Garage,44.895779,-93.295029
Minneapolis,55419,354500,3,1.5,1968,6098,56,Garage,44.89629,-93.297981
Minneapolis,55419,509900,3,2.5,2032,6098,1,Garage,44.895817,-93.294852
Minneapolis,55419,525000,4,2.5,2184,6098,1,Garage,44.895611,-93.295036
Minneapolis,55419,201500,2,1,745,6534,65,Garage,44.896362,-93.308296
Minneapolis,55417,199900,3,1,1284,5227,68,Garage,44.895279,-93.258263
Minneapolis,55417,315900,3,1.75,2368,6098,64,Garage,44.894997,-93.258774
Minneapolis,55417,312000,3,1.5,1864,,65,Garage,44.894871,-93.259476
Minneapolis,55410,334900,3,2.5,2098,5227,42,Garage,44.895176,-93.3172
Minneapolis,55419,239900,4,2,1514,6098,65,Garage,44.895485,-93.30648
Minneapolis,55419,499000,5,3.25,2501,5227,1,Garage,44.894928,-93.295593
St. Paul,55106,120990,3,1.5,1296,5227,94,Garage,44.959137,-93.055542
Minneapolis,55417,189200,3,1.5,1117,6098,72,Garage,44.894592,-93.259483
Minneapolis,55410,199000,4,1.5,1610,5227,67,Garage,44.894932,-93.314667
Minneapolis,55419,279900,3,1.5,2326,7405,59,Garage,44.894745,-93.296326
St. Paul,55117,179900,3,2,1970,7405,64,Garage,44.979446,-93.125275
St. Paul,55103,65000,1,0.75,650,4791,130,No Garage,44.961803,-93.125504
St. Paul,55117,99900,3,1,1385,4791,76,Garage,44.976234,-93.102592
Minneapolis,55417,199900,3,1.5,1755,5662,57,Garage,44.893932,-93.263748
Minneapolis,55419,569900,5,3.25,3892,6534,57,Garage,44.893921,-93.295593
Minneapolis,55410,249900,3,1,1879,5662,59,Garage,44.89381,-93.312828
Minneapolis,55417,159900,3,1.75,1260,6098,64,Garage,44.893387,-93.26445
Minneapolis,55410,334900,4,2,2496,5662,56,Garage,44.893566,-93.311562
Minneapolis,55417,274999,4,2,1705,,64,Garage,44.892963,-93.265678
Minneapolis,55410,245000,3,1.75,1657,5662,61,Garage,44.89307,-93.311562
Minneapolis,55417,256900,4,1.5,2096,6534,63,Garage,44.892673,-93.258331
Minneapolis,55417,219900,3,1.75,1740,6534,58,Garage,44.892673,-93.256302
Minneapolis,55419,219900,4,1.5,2109,6098,61,Garage,44.892601,-93.27652
St. Paul,55130,57500,4,1.75,2620,4791,124,Garage,44.970505,-93.074814
St. Paul,55117,95000,1,1.25,952,8624,134,Garage,44.976746,-93.098488
Minneapolis,55417,224900,3,1.75,1935,6534,63,Garage,44.892193,-93.25885
Minneapolis,55417,255000,3,1.75,1923,6926,60,Garage,44.8922,-93.257568
Minneapolis,55410,299900,3,1.75,1681,6534,63,Garage,44.89217,-93.317917
Minneapolis,55419,184500,2,1.75,1504,6098,62,Garage,44.891888,-93.309029
Minneapolis,55410,190000,3,1.75,1348,5662,64,Garage,44.891918,-93.315369
Minneapolis,55410,219900,3,1,1382,6534,63,Garage,44.891899,-93.318466
Minneapolis,55408,199900,3,1.5,1553,2178,110,No Garage,44.944901,-93.28756
Minneapolis,55419,169900,3,1,1112,5227,73,Garage,44.891472,-93.272598
Minneapolis,55419,239000,3,1.75,2376,8712,58,Garage,44.891399,-93.306564
St. Paul,55107,209900,3,1.25,1127,5227,107,Garage,44.927197,-93.104362
St. Paul,55104,450000,8,4,4216,7405,102,Garage,44.954185,-93.12661
St. Paul,55103,39900,3,1,1104,6098,128,Garage,44.960064,-93.115746
St. Paul,55117,199900,5,2,1750,13068,114,Garage,44.981232,-93.126701
St. Paul,55107,169900,4,1.5,1544,7405,114,Garage,44.926994,-93.087036
St. Paul,55104,145000,1,1,933,1001,10,No Garage,44.947727,-93.126877
St. Paul,55104,79900,2,1,1050,4791,94,Garage,44.962322,-93.12706
St. Paul,55102,142900,3,2,1426,6534,114,No Garage,44.921986,-93.134071
St. Paul,55104,109000,2,2,982,6969,128,Garage,44.959606,-93.127251
St. Paul,55106,90000,3,1,3580,4791,126,Garage,44.969616,-93.072922
St. Paul,55106,144900,3,1,1215,12196,65,Garage,44.961109,-93.051903
St. Paul,55106,90000,3,1.75,1596,3484,92,Garage,44.979912,-93.072876
St. Paul,55106,87500,4,2.5,2136,4791,130,Garage,44.953403,-93.070129
St. Paul,55104,132000,5,2.75,1600,4791,114,Garage,44.959087,-93.12812
St. Paul,55106,164900,3,1.5,1440,6098,49,Garage,44.983906,-93.072571
St. Paul,55116,379850,2,1.75,1676,9147,61,Garage,44.921108,-93.148247
St. Paul,55107,104900,3,1,1092,,102,No Garage,44.92588,-93.102989
St. Paul,55103,99100,3,1.75,1798,5662,114,Garage,44.961693,-93.115746
St. Paul,55106,129900,3,1.5,1865,7840,67,Garage,44.989925,-93.072258
St. Paul,55116,599000,4,2.25,3233,12632,58,Garage,44.921082,-93.197403
St. Paul,55102,119900,3,1,1080,10890,127,Garage,44.920921,-93.134796
St. Paul,55102,154900,2,1,1575,4791,114,Garage,44.930904,-93.128586
St. Paul,55116,414900,3,2.5,3155,5662,16,Garage,44.920837,-93.147072
St. Paul,55117,204900,3,1,1705,4791,65,Garage,44.991138,-93.12883
St. Paul,55106,230000,4,1.75,1985,10890,97,Garage,44.981331,-93.071526
Minneapolis,55421,174900,3,2,2084,5227,89,Garage,45.035309,-93.252892
St. Paul,55106,153900,3,1.75,1468,7405,32,Garage,44.991302,-93.071404
St. Paul,55106,144900,3,1,1424,3920,74,Garage,44.983124,-93.071266
St. Paul,55107,97900,3,2.25,1512,3049,29,Garage,44.925018,-93.101532
St. Paul,55106,74900,4,1.75,1880,4791,108,Garage,44.976826,-93.070808
St. Paul,55104,129900,3,0.75,1180,4791,114,Garage,44.96233,-93.12989
Minneapolis,55421,119900,4,1.5,1304,5227,75,Garage,45.035301,-93.252388
St. Paul,55104,114900,3,1,1408,4791,91,Garage,44.957798,-93.13002
St. Paul,55117,145000,4,1.75,2072,6098,74,Garage,44.975842,-93.097778
St. Paul,55106,169900,4,1.5,2100,4791,110,Garage,44.975933,-93.070496
St. Paul,55104,69900,2,1,1216,4791,121,No Garage,44.959087,-93.130188
St. Paul,55106,69900,2,1.5,1107,3484,114,No Garage,44.962814,-93.068848
St. Paul,55117,115000,3,1.75,1358,4791,76,Garage,44.976238,-93.103058
St. Paul,55106,134900,3,1,1018,4791,120,Garage,44.975937,-93.069878
St. Paul,55104,120000,3,1.5,1500,2613,114,Garage,44.956894,-93.130836
St. Paul,55106,112900,3,1,1190,4791,68,Garage,44.971828,-93.069901
St. Paul,55104,990000,4,4,5214,13068,88,Garage,44.943401,-93.196991
St. Paul,55117,174900,3,1,1479,4791,63,Garage,44.991158,-93.130844
St. Paul,55104,249000,3,2.25,2870,,95,Garage,44.959999,-93.131256
St. Paul,55106,149900,4,2,1397,4791,82,Garage,44.976326,-93.069183
St. Paul,55106,99900,2,1,1096,7405,66,Garage,44.982658,-93.069145
St. Paul,55106,164900,2,0.75,1229,5227,76,Garage,44.983166,-93.069061
St. Paul,55105,774900,6,3,3420,8712,105,Garage,44.934418,-93.131767
St. Paul,55107,165000,6,2,1476,5227,59,Garage,44.923462,-93.077225
St. Paul,55106,89900,2,1.5,1099,17859,98,Garage,44.989891,-93.068886
St. Paul,55102,175000,3,1.5,1417,5227,114,Garage,44.922981,-93.131866
St. Paul,55104,359900,4,1.25,2252,4791,106,Garage,44.944298,-93.132164
St. Paul,55102,159900,2,1,1405,4791,134,Garage,44.923489,-93.131859
St. Paul,55117,139900,3,2,1920,5227,56,Garage,44.987995,-93.102989
St. Paul,55102,219900,3,1.75,1612,,99,Garage,44.927494,-93.131966
St. Paul,55104,79900,3,1.25,1248,4791,99,Garage,44.959091,-93.132553
St. Paul,55104,75000,2,1,1584,4007,110,Garage,44.955055,-93.132545
St. Paul,55103,154900,3,1.75,1785,4791,86,Garage,44.97287,-93.131866
St. Paul,55104,145000,4,2,1904,4791,120,Garage,44.962337,-93.132721
St. Paul,55102,299900,5,2.5,2460,11761,114,Garage,44.93095,-93.132332
St. Paul,55104,179900,4,1.75,1127,5227,107,Garage,44.964489,-93.169983
St. Paul,55106,34900,3,1,1236,4791,130,Garage,44.974148,-93.067947
West St. Paul,55118,179000,3,2.5,2000,9583,62,Garage,44.919491,-93.081734
St. Paul,55106,148000,4,1.75,1494,,41,Garage,44.979965,-93.067429
St. Paul,55104,109000,2,1,963,4791,89,Garage,44.96143,-93.133186
St. Paul,55104,349000,3,2.25,1800,4791,0,Garage,44.948799,-93.1334
St. Paul,55106,108400,4,1.75,1690,4791,35,Garage,44.970058,-93.067276
St. Paul,55105,675000,7,3.5,4806,12632,104,Garage,44.940872,-93.133476
St. Paul,55106,139900,4,2.5,1496,4791,131,Garage,44.973244,-93.066948
St. Paul,55107,171900,3,1,1282,4356,101,Garage,44.922104,-93.101494
Minneapolis,55416,2995000,4,3.5,5819,19602,12,Garage,44.956566,-93.318939
St. Paul,55102,209900,3,1,1448,6098,91,Garage,44.927132,-93.134109
Minneapolis,55418,245999,4,3,1900,3920,114,Garage,45.016567,-93.249344
St. Paul,55104,155900,4,1.75,1408,4791,102,Garage,44.954578,-93.135353
St. Paul,55104,40000,3,1,1645,4791,129,No Garage,44.957802,-93.135391
St. Paul,55104,124100,3,2.25,2074,8712,57,Garage,44.963249,-93.135567
St. Paul,55130,61900,3,2,1365,4791,110,Garage,44.966434,-93.079552
St. Paul,55104,134900,3,1,1773,4791,103,No Garage,44.955402,-93.135529
St. Paul,55104,100000,5,1.75,1758,4791,99,Garage,44.959621,-93.135544
St. Paul,55117,129900,3,1,1188,3920,128,Garage,44.966736,-93.109406
St. Paul,55104,148900,2,1,1427,4791,104,Garage,44.960915,-93.135712
St. Paul,55104,165000,2,1,1047,7405,99,Garage,44.948799,-93.135834
St. Paul,55106,135900,3,1.75,1820,4791,88,Garage,44.969673,-93.064873
St. Paul,55106,139900,4,2,1796,4791,106,Garage,44.961891,-93.064796
St. Paul,55117,121900,4,2,2126,6098,23,Garage,44.965031,-93.103577
St. Paul,55117,44900,2,1,826,7405,126,Garage,44.966831,-93.095963
St. Paul,55106,49900,2,1,1241,4791,101,No Garage,44.970581,-93.06424
St. Paul,55106,359000,3,3.25,2983,9583,16,Garage,44.945175,-93.031662
St. Paul,55106,56900,4,2,1543,4791,106,Garage,44.961895,-93.064339
St. Paul,55117,59900,3,1.5,1284,4356,105,Garage,44.967148,-93.115799
St. Paul,55104,154900,3,2,1400,4356,125,Garage,44.952415,-93.136681
St. Paul,55106,47000,3,1,1000,4791,130,Garage,44.95649,-93.064133
St. Paul,55106,74900,4,1.75,2269,4791,105,No Garage,44.95739,-93.06414
St. Paul,55102,74900,3,1.75,1400,5227,99,Garage,44.928417,-93.136932
St. Paul,55104,139900,3,1,1189,4791,103,Garage,44.959095,-93.136917
St. Paul,55107,179900,3,1.75,1300,5227,108,Garage,44.919937,-93.100945
St. Paul,55117,105000,2,1,914,6098,134,Garage,44.9674,-93.11068
St. Paul,55116,226900,3,1.5,1381,6098,66,Garage,44.914936,-93.185532
St. Paul,55101,99900,3,1,1267,6534,130,Garage,44.96751,-93.081573
St. Paul,55106,85000,3,2.25,2207,4791,102,Garage,44.961506,-93.063721
St. Paul,55104,499900,4,2.5,3052,6098,123,Garage,44.944691,-93.137184
St. Paul,55106,132990,3,1.75,1562,4356,114,Garage,44.956978,-93.063278
St. Paul,55104,279900,5,2,2100,6534,103,Garage,44.967865,-93.16909
St. Paul,55117,24900,3,1,1172,,130,Garage,44.968037,-93.103638
St. Paul,55117,349900,3,2.5,2044,6098,9,Garage,44.988087,-93.135689
St. Paul,55106,104500,4,2.25,1378,4791,64,Garage,44.976887,-93.06308
St. Paul,55117,279900,2,1,1271,10890,94,Garage,44.982567,-93.137825
St. Paul,55105,339900,4,1.75,2534,6969,102,Garage,44.938725,-93.187782
St. Paul,55119,125900,3,1,1351,8276,89,Garage,44.96833,-93.015533
St. Paul,55106,168800,3,1,2036,,73,Garage,44.97908,-93.062653
St. Paul,55104,215000,2,1,1200,6098,103,Garage,44.943634,-93.138107
St. Paul,55102,795000,5,3.25,4305,6969,120,No Garage,44.936386,-93.126938
St. Paul,55116,240000,4,1.75,1564,4791,65,Garage,44.913914,-93.185417
St. Paul,55105,374900,4,2.5,2046,4791,103,Garage,44.935455,-93.138138
St. Paul,55104,100000,2,1,938,7840,114,Garage,44.968307,-93.170013
St. Paul,55104,149900,2,1,784,9888,60,Garage,44.944359,-93.154572
St. Paul,55104,279900,4,2.25,2700,,112,Garage,44.94603,-93.138695
St. Paul,55106,69000,3,1,961,3484,134,No Garage,44.961514,-93.062027
St. Paul,55119,134900,3,1,1218,6534,75,Garage,44.969048,-93.018509
St. Paul,55117,93900,3,1,1292,5227,74,Garage,44.978943,-93.104073
St. Paul,55117,189900,3,0.75,1464,6098,64,Garage,44.989857,-93.139168
St. Paul,55106,169900,3,2,1398,6098,74,Garage,44.979076,-93.061493
St. Paul,55104,289900,5,1.5,2750,6969,107,Garage,44.948837,-93.139473
St. Paul,55105,919900,6,4.25,4912,15681,107,Garage,44.938606,-93.139648
St. Paul,55106,98000,3,1.75,1005,3920,104,Garage,44.969769,-93.058136
St. Paul,55107,195000,4,2,1624,5662,110,Garage,44.931999,-93.089371
St. Paul,55119,209900,3,2.25,2296,8712,36,Garage,44.913395,-93.006508
St. Paul,55106,117900,3,1,1403,5227,93,Garage,44.960999,-93.060463
St. Paul,55117,284900,3,2.5,1932,5662,64,Garage,44.985348,-93.140388
St. Paul,55106,139900,4,1.25,396,,97,Garage,44.971874,-93.060081
St. Paul,55117,299900,3,2.25,2014,6534,65,Garage,44.987152,-93.140991
St. Paul,55106,165000,4,1.75,1349,,74,Garage,44.957909,-93.059486
St. Paul,55130,149990,3,2,1220,4791,0,Garage,44.970657,-93.079002
St. Paul,55103,124900,3,1,1200,4791,101,Garage,44.970715,-93.133118
St. Paul,55104,193000,4,1.75,1460,4356,93,Garage,44.953686,-93.14193
St. Paul,55106,134999,3,1.75,1650,9539,124,Garage,44.963734,-93.059174
St. Paul,55102,84900,2,1,732,4356,90,Garage,44.92717,-93.142082
St. Paul,55106,109000,4,1.75,1650,5227,116,Garage,44.956505,-93.058861
St. Paul,55103,89900,3,2,1180,4791,100,Garage,44.971088,-93.135155
